ens_id	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG_001	0.26794	9.9955	0.65349	0.51502	0.69333	-6.28
ENSG_002	0.081738	4.2777	1.2564	0.21205	0.38895	-5.7174
ENSG_003	-0.51198	9.2662	-3.9779	0.00013602	0.0014296	0.7229
ENSG_004	0.13972	4.4324	1.1875	0.23801	0.41982	-5.7993
ENSG_005	0.083668	4.1668	0.46067	0.64609	0.79471	-6.3858
ENSG_006	-0.4943	9.2267	-2.1303	0.03574	0.10488	-4.3024
ENSG_007	-0.017808	8.9888	-0.20254	0.83993	0.91584	-6.4702
ENSG_008	-0.19032	6.0722	-0.8123	0.41866	0.61034	-6.1657
ENSG_009	0.33804	13.843	1.6201	0.10853	0.23955	-5.2122
ENSG_010	0.30718	9.5907	1.7373	0.085581	0.20086	-5.0236
