GSM50	GSM51	GSM52	GSM53	GSM54	GSM55	GSM56	GSM57	GSM58
MMP27	18.74893	17.70914	16.92446	18.45354	17.93684	18.3658	18.46894	17.19798	18.47173
MMP37	18.77823	17.64107	16.86508	18.39265	17.9234	18.31241	18.41596	17.13269	18.44488
MMP17	14.48571	16.41511	15.63774	17.07195	16.71126	17.07873	17.18147	15.82589	17.1868
MMP2	11.09806	16.46854	12.65212	15.04441	16.57706	15.56943	14.6438	17.91513	14.15567
MMP1	10.63599	15.948	12.18162	14.51286	16.06679	15.03738	14.13527	17.37915	13.63929
MMP14	12.88972	12.88539	17.60895	13.65287	13.79434	13.0456	12.27548	13.87561	13.10382
MMP29	13.79889	14.7328	15.67722	13.42944	14.98624	13.50504	13.96654	13.45789	14.01404
MMP24	12.31897	12.20273	17.01199	13.06664	13.13155	12.42614	11.63426	13.28899	12.46492
MMP39	13.70794	14.67944	15.59173	13.36514	14.91974	13.45232	13.87269	13.39302	13.94537
MMP34	12.24087	12.19842	16.95861	12.99631	13.10464	12.3785	11.59228	13.22296	12.425
MMP11	12.76398	15.80211	13.86182	12.90664	13.77313	13.38558	12.66411	13.67804	12.36481
MMP19	13.10027	14.10446	14.98696	12.77664	14.34522	12.87387	13.26729	12.82588	13.3674
MMP35	12.06116	14.07861	14.22747	11.69564	13.29484	12.59194	12.33099	12.43497	12.06011
MMP21	11.83376	14.80479	12.91914	11.95178	12.7652	12.39696	11.66935	12.73203	11.37111
MMP31	11.63556	14.63219	12.72051	11.76091	12.60532	12.22455	11.50408	12.53671	11.20509
MMP15	11.68513	13.72537	13.86577	11.32351	12.92632	12.24291	11.97242	12.07338	11.70435
MMP36	9.37951	10.82251	12.54311	9.42807	11.15386	10.38003	10.0036	9.3839	10.93779
MMP16	9.27908	10.74775	12.38046	9.32596	11.07318	10.27087	9.93961	9.3149	10.8166
MMP33	6.83086	13.46535	7.44501	6.63038	8.24821	7.14384	7.10297	7.67172	6.74133
MMP13	6.66718	13.38364	7.48261	6.73227	7.89178	7.25795	7.23084	7.40284	6.86888
MMP26	8.40378	9.82671	11.7125	8.45779	10.20163	9.48812	9.02414	8.37634	10.02728
MMP12	8.52489	10.34978	9.59152	7.94562	9.6003	8.63481	8.54878	9.17368	8.01592
MMP32	8.43925	10.38345	9.50377	7.98607	9.63096	8.52763	8.43321	9.07631	8.22964
MMP20	7.19367	9.56594	8.37968	7.3087	8.61287	7.71232	7.70016	8.04925	7.41498
MMP10	7.33029	9.35473	8.51053	7.17203	8.6831	7.55267	7.53107	8.19313	7.2555
