GSM50	GSM51	GSM52	GSM53	GSM54	GSM55	GSM56	GSM57	GSM58
MMP17	5123	4123	5234	31234	8921	20456	20987	6789	27123
MMP27	39876	4098	5176	32987	8456	20234	20765	7123	26789
MMP37	41765	4012	5098	32456	8598	20012	20543	6987	26987
MMP1	143	1201	192	2134	2298	2001	1023	8023	934
MMP2	137	1198	185	2145	2276	2012	1012	8089	929
MMP19	1234	523	2098	1001	1089	698	876	534	1209
MMP29	1256	507	2123	987	1065	678	892	519	1187
MMP39	1243	515	2109	995	1072	689	881	523	1193
MMP14	845	178	10234	1456	589	623	349	876	798
MMP24	867	169	10312	1478	567	618	341	889	781
MMP34	853	175	10321	1462	578	621	344	882	789
MMP15	543	472	1132	429	478	529	419	372	448
MMP35	547	468	1129	431	479	523	417	371	445
MMP11	439	762	432	492	329	447	259	433	271
MMP21	452	749	441	498	321	442	255	441	267
MMP31	447	754	436	495	326	445	258	437	270
MMP16	41	24	162	43	53	54	41	22	97
MMP26	37	21	169	39	48	52	36	19	93
MMP36	40	23	165	42	51	53	39	21	96
MMP12	28	21	27	19	22	20	18	23	16
MMP32	27	22	26	20	23	19	17	22	19
MMP13	16	359	13	17	14	16	15	14	15
MMP33	17	360	12	15	17	14	13	16	13
MMP10	22	19	23	20	21	17	16	21	17
MMP20	20	22	21	22	20	19	18	19	19
