ens_id	GSM50	GSM51	GSM52	GSM53	GSM54	GSM55	GSM56	GSM57	GSM58	GSM59
ENSG_001	41507	4038	5148	32622	8539	20166	20471	6950	26936	11022
ENSG_002	41507	4038	5148	32622	8539	20166	20471	6950	26936	11022
ENSG_003	41507	4038	5148	32622	8539	20166	20471	6950	26936	11022
ENSG_004	134	1210	182	2154	2268	2025	1016	8108	927	1766
ENSG_005	134	1210	182	2154	2268	2025	1016	8108	927	1766
ENSG_006	134	1210	182	2154	2268	2025	1016	8108	927	1766
ENSG_007	1248	511	2110	991	1077	687	883	521	1197	429
ENSG_008	1248	511	2110	991	1077	687	883	521	1197	429
ENSG_009	1248	511	2110	991	1077	687	883	521	1197	429
ENSG_010	856	173	10318	1468	576	620	342	882	785	845
ENSG_011	856	173	10318	1468	576	620	342	882	785	845
ENSG_012	856	173	10318	1468	576	620	342	882	785	845
ENSG_013	548	465	1127	433	481	522	416	369	443	361
ENSG_014	548	465	1127	433	481	522	416	369	443	361
ENSG_015	548	465	1127	433	481	522	416	369	443	361
ENSG_016	445	757	437	496	324	444	257	439	269	555
ENSG_017	445	757	437	496	324	444	257	439	269	555
ENSG_018	445	757	437	496	324	444	257	439	269	555
ENSG_019	39	22	167	40	50	51	38	20	95	61
ENSG_020	39	22	167	40	50	51	38	20	95	61
ENSG_021	39	22	167	40	50	51	38	20	95	61
ENSG_022	26	23	25	21	23	21	19	22	17	19
ENSG_023	26	23	25	21	23	21	19	22	17	19
ENSG_024	26	23	25	21	23	21	19	22	17	19
ENSG_025	15	361	14	16	15	15	14	15	14	16
ENSG_026	15	361	14	16	15	15	14	15	14	16
ENSG_027	15	361	14	16	15	15	14	15	14	16
ENSG_028	21	20	22	21	22	18	17	20	18	17
ENSG_029	21	20	22	21	22	18	17	20	18	17
