ens_id	GSM50	GSM51	GSM52	GSM53	GSM54	GSM55	GSM56	GSM57	GSM58	GSM59
ENSG_001	15.3411	11.9797	12.33	14.9936	13.0599	14.2997	14.3213	12.7628	14.7173	13.4281
ENSG_002	15.3411	11.9797	12.33	14.9936	13.0599	14.2997	14.3213	12.7628	14.7173	13.4281
ENSG_003	15.3411	11.9797	12.33	14.9936	13.0599	14.2997	14.3213	12.7628	14.7173	13.4281
ENSG_004	7.0707	10.2417	7.5098	11.0731	11.1473	10.9841	9.9894	12.9852	9.8579	10.7868
ENSG_005	7.0707	10.2417	7.5098	11.0731	11.1473	10.9841	9.9894	12.9852	9.8579	10.7868
ENSG_006	7.0707	10.2417	7.5098	11.0731	11.1473	10.9841	9.9894	12.9852	9.8579	10.7868
ENSG_007	10.2864	8.9998	11.0433	9.9528	10.0739	9.4259	9.7865	9.0275	10.2264	8.7473
ENSG_008	10.2864	8.9998	11.0433	9.9528	10.0739	9.4259	9.7865	9.0275	10.2264	8.7473
ENSG_009	10.2864	8.9998	11.0433	9.9528	10.0739	9.4259	9.7865	9.0275	10.2264	8.7473
ENSG_010	9.7424	7.4403	13.3329	10.5199	9.1702	9.2764	8.4194	9.7853	9.6177	9.7242
ENSG_011	9.7424	7.4403	13.3329	10.5199	9.1702	9.2764	8.4194	9.7853	9.6177	9.7242
ENSG_012	9.7424	7.4403	13.3329	10.5199	9.1702	9.2764	8.4194	9.7853	9.6177	9.7242
ENSG_013	9.0992	8.8612	10.139	8.7601	8.9126	9.0289	8.7027	8.5281	8.7917	8.4964
ENSG_014	9.0992	8.8612	10.139	8.7601	8.9126	9.0289	8.7027	8.5281	8.7917	8.4964
ENSG_015	9.0992	8.8612	10.139	8.7601	8.9126	9.0289	8.7027	8.5281	8.7917	8.4964
ENSG_016	8.7982	9.5659	8.7726	8.9549	8.3416	8.7954	8.0095	8.7807	8.074	9.1177
ENSG_017	8.7982	9.5659	8.7726	8.9549	8.3416	8.7954	8.0095	8.7807	8.074	9.1177
ENSG_018	8.7982	9.5659	8.7726	8.9549	8.3416	8.7954	8.0095	8.7807	8.074	9.1177
ENSG_019	5.304	4.5124	7.3854	5.3223	5.6604	5.6807	5.2703	4.3853	6.5707	5.9472
ENSG_020	5.304	4.5124	7.3854	5.3223	5.6604	5.6807	5.2703	4.3853	6.5707	5.9472
ENSG_021	5.304	4.5124	7.3854	5.3223	5.6604	5.6807	5.2703	4.3853	6.5707	5.9472
ENSG_022	4.7517	4.5808	4.6502	4.4102	4.5408	4.4151	4.3036	4.4669	4.1136	4.2666
ENSG_023	4.7517	4.5808	4.6502	4.4102	4.5408	4.4151	4.3036	4.4669	4.1136	4.2666
ENSG_024	4.7517	4.5808	4.6502	4.4102	4.5408	4.4151	4.3036	4.4669	4.1136	4.2666
ENSG_025	3.9458	8.4986	3.8866	4.005	3.979	3.97	3.8924	3.9537	3.8202	4.0323
ENSG_026	3.9458	8.4986	3.8866	4.005	3.979	3.97	3.8924	3.9537	3.8202	4.0323
ENSG_027	3.9458	8.4986	3.8866	4.005	3.979	3.97	3.8924	3.9537	3.8202	4.0323
ENSG_028	4.4218	4.3538	4.4609	4.424	4.4954	4.2392	4.1696	4.3248	4.2321	4.1488
ENSG_029	4.4218	4.3538	4.4609	4.424	4.4954	4.2392	4.1696	4.3248	4.2321	4.1488
