ensembl_id,symbol,length,biotype
ENSG_001,MMP17,375,protein_coding
ENSG_002,MMP27,152,protein_coding
ENSG_003,MMP37,156,protein_coding
ENSG_004,MMP1,151,protein_coding
ENSG_005,MMP2,214,protein_coding
ENSG_006,MMP2,105,protein_coding
ENSG_007,MMP19,236,protein_coding
ENSG_008,MMP29,148,protein_coding
ENSG_009,MMP39,156,protein_coding
ENSG_010,MMP14,187,protein_coding
ENSG_012,MMP34,296,pseudogene
ENSG_013,MMP15,277,protein_coding
ENSG_014,MMP2,256,protein_coding
ENSG_015,MMP35,215,protein_coding
ENSG_016,MMP11,106,protein_coding
ENSG_018,MMP31,236,protein_coding
ENSG_019,MMP16,111,protein_coding
ENSG_020,MMP26,184,protein_coding
ENSG_021,MMP36,101,pseudogene
ENSG_022,MMP12,128,protein_coding
ENSG_023,MMP2,197,protein_coding
ENSG_024,MMP32,131,protein_coding
ENSG_025,MMP13,267,protein_coding
ENSG_026,MMP2,153,protein_coding
ENSG_027,MMP33,253,protein_coding
ENSG_028,MMP10,231,protein_coding
ENSG_029,MMP20,231,protein_coding
ENSG_011,MMP24,285,protein_coding
ENSG_017,MMP21,208,protein_coding
